x1,x2,x3,x4,y
2050,CO2,Power,CH,0.0
2018,CO2,Industry,CH,5.955360381573324
2025,CO2,Industry,CH,0.0
2030,CO2,Industry,CH,0.0
2035,CO2,Industry,CH,0.0
2040,CO2,Industry,CH,0.0
2045,CO2,Industry,CH,0.0
2050,CO2,Industry,CH,0.0
2018,CO2,Buildings,CH,13.313127150296191
2025,CO2,Buildings,CH,2.140554716302857
2030,CO2,Buildings,CH,0.0
2035,CO2,Buildings,CH,0.0
2040,CO2,Buildings,CH,0.0
2045,CO2,Buildings,CH,0.0
2050,CO2,Buildings,CH,0.0
2018,CO2,Transportation,CH,1.9972600651263188
2025,CO2,Transportation,CH,0.36692602586591844
2030,CO2,Transportation,CH,0.27231009656276217
2035,CO2,Transportation,CH,0.02484584126681809
2040,CO2,Transportation,CH,0.012353781281457695
2045,CO2,Transportation,CH,0.012107958950177921
2050,CO2,Transportation,CH,0.011864940409388942
2018,CO2,Resources,CH,0.0
2025,CO2,Resources,CH,0.0
2030,CO2,Resources,CH,0.0
2035,CO2,Resources,CH,0.0
2040,CO2,Resources,CH,0.0
2045,CO2,Resources,CH,0.0
2050,CO2,Resources,CH,0.0
2018,CO2,Storages,CH,0.0
2025,CO2,Storages,CH,0.0
2030,CO2,Storages,CH,0.0
2035,CO2,Storages,CH,0.0
2040,CO2,Storages,CH,0.0
2045,CO2,Storages,CH,0.0
2050,CO2,Storages,CH,0.0
2018,CO2,Transformation,CH,0.0
2025,CO2,Transformation,CH,0.0
2030,CO2,Transformation,CH,0.0
2035,CO2,Transformation,CH,0.0
2040,CO2,Transformation,CH,0.0
2045,CO2,Transformation,CH,0.0
2050,CO2,Transformation,CH,0.0
2018,CO2,CHP,CH,0.0
2025,CO2,CHP,CH,0.0
2030,CO2,CHP,CH,0.0
2035,CO2,CHP,CH,0.0
2040,CO2,CHP,CH,0.0
2045,CO2,CHP,CH,0.0
2050,CO2,CHP,CH,0.0
2018,CO2,Infeasibility,CH,0.0
2025,CO2,Infeasibility,CH,0.0
2030,CO2,Infeasibility,CH,0.0
2035,CO2,Infeasibility,CH,0.0
2040,CO2,Infeasibility,CH,0.0
2045,CO2,Infeasibility,CH,0.0
2050,CO2,Infeasibility,CH,0.0
2018,CO2,Power,CZ,11.058971231929416
2025,CO2,Power,CZ,0.0
2030,CO2,Power,CZ,0.0
2035,CO2,Power,CZ,0.0
2040,CO2,Power,CZ,0.0
2045,CO2,Power,CZ,0.0
2050,CO2,Power,CZ,0.0
2018,CO2,Industry,CZ,25.728617512102055
2025,CO2,Industry,CZ,1.0794142768738444
2030,CO2,Industry,CZ,0.0
2035,CO2,Industry,CZ,0.0
2040,CO2,Industry,CZ,0.0
2045,CO2,Industry,CZ,0.0
2050,CO2,Industry,CZ,0.0
2018,CO2,Buildings,CZ,13.59089781824111
2025,CO2,Buildings,CZ,0.0
2030,CO2,Buildings,CZ,0.0
2035,CO2,Buildings,CZ,0.0
2040,CO2,Buildings,CZ,0.0
2045,CO2,Buildings,CZ,0.0
2050,CO2,Buildings,CZ,0.0
2018,CO2,Transportation,CZ,2.596822172306618
2025,CO2,Transportation,CZ,0.46944802733755564
2030,CO2,Transportation,CZ,0.3232871721391779
2035,CO2,Transportation,CZ,0.030883110840069658
2040,CO2,Transportation,CZ,0.011575046662423741
2045,CO2,Transportation,CZ,0.011344720020693411
2050,CO2,Transportation,CZ,0.011117020429339253
2018,CO2,Resources,CZ,0.0
2025,CO2,Resources,CZ,0.0
2030,CO2,Resources,CZ,0.0
2035,CO2,Resources,CZ,0.0
2040,CO2,Resources,CZ,0.0
2045,CO2,Resources,CZ,0.0
2050,CO2,Resources,CZ,0.0
2018,CO2,Storages,CZ,0.0
2025,CO2,Storages,CZ,0.0
2030,CO2,Storages,CZ,0.0
2035,CO2,Storages,CZ,0.0
2040,CO2,Storages,CZ,0.0
2045,CO2,Storages,CZ,0.0
2050,CO2,Storages,CZ,0.0
2018,CO2,Transformation,CZ,0.0
2025,CO2,Transformation,CZ,0.0
2030,CO2,Transformation,CZ,0.0
2035,CO2,Transformation,CZ,0.0
2040,CO2,Transformation,CZ,0.0
2045,CO2,Transformation,CZ,0.0
2050,CO2,Transformation,CZ,0.0
2018,CO2,CHP,CZ,1.3630844817905798
2025,CO2,CHP,CZ,0.0
2030,CO2,CHP,CZ,0.0
2035,CO2,CHP,CZ,0.0
2040,CO2,CHP,CZ,0.0
2045,CO2,CHP,CZ,0.0
2050,CO2,CHP,CZ,0.0
2018,CO2,Infeasibility,CZ,0.0
2025,CO2,Infeasibility,CZ,0.0
2030,CO2,Infeasibility,CZ,0.0
2035,CO2,Infeasibility,CZ,0.0
