x1,x2,x3,x4,x5,y
MT_FRT_SHIP_RE,3856,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,5780,CH,Mobility_Passenger,2018,7.843531760505647
MT_PSNG_RAIL,5780,CH,Mobility_Passenger,2018,1.8265758894328221
MT_PSNG_AIR,5780,CH,Mobility_Passenger,2018,0.9670107649938469
MT_PSNG_ROAD_RE,5780,CH,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,5780,CH,Mobility_Passenger,2018,1.2893476866584626
MT_PSNG_AIR_RE,5780,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,5780,CH,Mobility_Passenger,2018,7.521194838841031
MT_PSNG_RAIL_CONV,5780,CH,Mobility_Passenger,2018,0.5372282027743595
MT_PSNG_AIR_CONV,5780,CH,Mobility_Passenger,2018,0.9670107649938469
MT_FRT_ROAD,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,5780,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,CH,Mobility_Passenger,2018,2.233299354128129
MT_PSNG_RAIL,7704,CH,Mobility_Passenger,2018,0.5200834112353178
MT_PSNG_AIR,7704,CH,Mobility_Passenger,2018,0.2753382765363447
MT_PSNG_ROAD_RE,7704,CH,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,7704,CH,Mobility_Passenger,2018,0.36711770204845956
MT_PSNG_AIR_RE,7704,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,7704,CH,Mobility_Passenger,2018,2.141519928616014
MT_PSNG_RAIL_CONV,7704,CH,Mobility_Passenger,2018,0.15296570918685815
MT_PSNG_AIR_CONV,7704,CH,Mobility_Passenger,2018,0.2753382765363447
MT_FRT_ROAD,7704,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,7704,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,7704,CH,Mobility_Passenger,2018,0.0
