x1,x2,x3,y
S_CAES,2025,EE,0.0
S_Gas_Methane,2025,EE,0.0
S_PHS,2030,EE,0.0
S_Gas_H2,2030,EE,0.006861487482150947
S_Battery_Li-Ion,2030,EE,0.0
S_Battery_Redox,2030,EE,0.0
S_Heat_HLR,2030,EE,0.0
S_Heat_HLI,2030,EE,0.0
S_CAES,2030,EE,0.0
S_Gas_Methane,2030,EE,0.0
S_PHS,2035,EE,0.0
S_Gas_H2,2035,EE,0.003997050871234402
S_Battery_Li-Ion,2035,EE,0.0003270725059449754
S_Battery_Redox,2035,EE,0.0
S_Heat_HLR,2035,EE,0.0
S_Heat_HLI,2035,EE,0.0
S_CAES,2035,EE,0.0
S_Gas_Methane,2035,EE,0.0
S_PHS,2040,EE,0.0
S_Gas_H2,2040,EE,0.0025077332431174527
S_Battery_Li-Ion,2040,EE,0.0
S_Battery_Redox,2040,EE,0.0
S_Heat_HLR,2040,EE,7.90226739776867e-5
S_Heat_HLI,2040,EE,0.0
S_CAES,2040,EE,0.0
S_Gas_Methane,2040,EE,0.0
S_PHS,2045,EE,0.0
S_Gas_H2,2045,EE,0.0016111009064313632
S_Battery_Li-Ion,2045,EE,0.0
S_Battery_Redox,2045,EE,0.0
S_Heat_HLR,2045,EE,0.00021312697618373105
S_Heat_HLI,2045,EE,0.0
S_CAES,2045,EE,0.0
S_Gas_Methane,2045,EE,0.0
S_PHS,2050,EE,0.0
S_Gas_H2,2050,EE,0.0012819934556085474
S_Battery_Li-Ion,2050,EE,0.0
S_Battery_Redox,2050,EE,0.0
S_Heat_HLR,2050,EE,0.000244909080645227
S_Heat_HLI,2050,EE,0.0
S_CAES,2050,EE,0.0
S_Gas_Methane,2050,EE,0.0
S_PHS,2018,ES,0.0
S_Gas_H2,2018,ES,0.0
S_Battery_Li-Ion,2018,ES,0.0
S_Battery_Redox,2018,ES,0.0
S_Heat_HLR,2018,ES,0.0
S_Heat_HLI,2018,ES,0.0
S_CAES,2018,ES,0.0
S_Gas_Methane,2018,ES,0.0
S_PHS,2025,ES,0.0
S_Gas_H2,2025,ES,0.14349001240572576
S_Battery_Li-Ion,2025,ES,0.12045546444425331
S_Battery_Redox,2025,ES,0.0
S_Heat_HLR,2025,ES,0.0
S_Heat_HLI,2025,ES,0.0
S_CAES,2025,ES,0.0
S_Gas_Methane,2025,ES,0.0
S_PHS,2030,ES,0.0
S_Gas_H2,2030,ES,0.038526403442672726
S_Battery_Li-Ion,2030,ES,0.17266975385059408
S_Battery_Redox,2030,ES,0.0
S_Heat_HLR,2030,ES,0.0
S_Heat_HLI,2030,ES,0.0
S_CAES,2030,ES,0.0
S_Gas_Methane,2030,ES,0.0
S_PHS,2035,ES,0.0
S_Gas_H2,2035,ES,0.03287612507838926
S_Battery_Li-Ion,2035,ES,0.11021128659129666
S_Battery_Redox,2035,ES,0.0
S_Heat_HLR,2035,ES,0.0
S_Heat_HLI,2035,ES,0.0
S_CAES,2035,ES,0.0
S_Gas_Methane,2035,ES,0.0
S_PHS,2040,ES,0.0
S_Gas_H2,2040,ES,0.019700356515974484
S_Battery_Li-Ion,2040,ES,0.06291732898350699
S_Battery_Redox,2040,ES,0.0
S_Heat_HLR,2040,ES,0.0
S_Heat_HLI,2040,ES,0.0
S_CAES,2040,ES,0.0
S_Gas_Methane,2040,ES,0.0
S_PHS,2045,ES,0.0
S_Gas_H2,2045,ES,0.021707668375888178
S_Battery_Li-Ion,2045,ES,0.016320237270962434
S_Battery_Redox,2045,ES,0.0
S_Heat_HLR,2045,ES,0.0
S_Heat_HLI,2045,ES,0.0
S_CAES,2045,ES,0.0
S_Gas_Methane,2045,ES,0.0
S_PHS,2050,ES,0.0
S_Gas_H2,2050,ES,0.01860443469164788
S_Battery_Li-Ion,2050,ES,0.022176858184234205
S_Battery_Redox,2050,ES,0.0
S_Heat_HLR,2050,ES,0.0
S_Heat_HLI,2050,ES,0.0
S_CAES,2050,ES,0.0
S_Gas_Methane,2050,ES,0.0
S_PHS,2018,FI,0.0
S_Gas_H2,2018,FI,0.0
S_Battery_Li-Ion,2018,FI,0.0
S_Battery_Redox,2018,FI,0.0
S_Heat_HLR,2018,FI,0.0
S_Heat_HLI,2018,FI,0.0
S_CAES,2018,FI,0.0
S_Gas_Methane,2018,FI,0.0
S_PHS,2025,FI,0.0
S_Gas_H2,2025,FI,0.05394834742289083
S_Battery_Li-Ion,2025,FI,0.0
S_Battery_Redox,2025,FI,0.0
S_Heat_HLR,2025,FI,0.0
S_Heat_HLI,2025,FI,0.0
S_CAES,2025,FI,0.0
S_Gas_Methane,2025,FI,0.0
S_PHS,2030,FI,0.0
S_Gas_H2,2030,FI,0.039818724026693925
S_Battery_Li-Ion,2030,FI,0.08194549000224599
S_Battery_Redox,2030,FI,0.0
S_Heat_HLR,2030,FI,0.0
S_Heat_HLI,2030,FI,0.0
S_CAES,2030,FI,0.0
S_Gas_Methane,2030,FI,0.0
S_PHS,2035,FI,0.0
S_Gas_H2,2035,FI,0.023509174874118806
S_Battery_Li-Ion,2035,FI,0.053906745993884925
S_Battery_Redox,2035,FI,0.0
S_Heat_HLR,2035,FI,0.0
S_Heat_HLI,2035,FI,0.0
S_CAES,2035,FI,0.0
S_Gas_Methane,2035,FI,0.0
S_PHS,2040,FI,0.0
S_Gas_H2,2040,FI,0.020786615221144087
S_Battery_Li-Ion,2040,FI,0.005944816393742423
S_Battery_Redox,2040,FI,0.0
S_Heat_HLR,2040,FI,0.0
