x1;x2;x3;y;;x1;x2;x3;y;diff;
2045;FRT_Ship_LNG;AT;0;;2045;FRT_Ship_LNG;AT;0;0;#DIV/0!
2050;FRT_Ship_LNG;AT;0;;2050;FRT_Ship_LNG;AT;0;0;#DIV/0!
2018;HLI_Convert_DH;AT;5,251827406;;2018;HLI_Convert_DH;AT;5,251827406;0;0%
2025;HLI_Convert_DH;AT;3,47477191;;2025;HLI_Convert_DH;AT;4,788733188;-1,313961278;-38%
2030;HLI_Convert_DH;AT;1,734833007;;2030;HLI_Convert_DH;AT;2,172061691;-0,437228683;-25%
2035;HLI_Convert_DH;AT;3,250235259;;2035;HLI_Convert_DH;AT;4,566428285;-1,316193027;-40%
2040;HLI_Convert_DH;AT;3,203204027;;2040;HLI_Convert_DH;AT;4,548428316;-1,345224289;-42%
2045;HLI_Convert_DH;AT;3,087411444;;2045;HLI_Convert_DH;AT;4,53884432;-1,451432876;-47%
2050;HLI_Convert_DH;AT;3,06488041;;2050;HLI_Convert_DH;AT;3,982396529;-0,917516119;-30%
2018;HLR_Convert_DH;AT;57,74930797;;2018;HLR_Convert_DH;AT;60,60165167;-2,852343706;-5%
